store_id,model_id,forecast_units,current_stock,target_stock,stock_gap,recommended_units,allocated_units,allocation_value,protected_sales_value,lost_sale_value,unfilled_demand_units,unfilled_demand_value,priority_score,price_band,store_price_band_fit,avg_event_multiplier,lifecycle_factor,city,eol_status,allocation_status,reason,price
BLR05,MOD042,3.5876425324675325,1.0,5.125203617810761,4.125203617810761,4,4,152000,136330.41623376624,113079.97866883117,0.0,0.0,199803.17238520412,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,"HIGH PRIORITY: stockout risk and ₹113,080 potential lost-sale value.",38000
BLR02,MOD042,5.588605371900826,4.0,7.983721959858323,3.9837219598583227,3,3,114000,114000.0,69422.05475206609,0.0,0.0,191497.51461038957,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
BLR03,MOD048,4.0491935064935065,2.0,5.784562152133581,3.7845621521335806,3,3,162000,162000.0,82992.337012987,0.0,0.0,165536.74853432283,Flagship,1.2,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,54000
BLR07,MOD030,4.592010489510489,2.0,6.560014985014985,4.560014985014985,4,4,120000,120000.0,85536.34615384616,0.0,0.0,165528.54395604398,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
BLR03,MOD054,4.870215097402597,5.0,6.957450139146567,1.9574501391465668,1,1,92000,92000.0,0.0,0.0,0.0,159195.504916512,Premium,1.3,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,92000
BLR08,MOD042,1.8174988636363636,0.0,2.596426948051948,2.596426948051948,2,2,76000,69064.95681818182,79424.70034090908,0.0,0.0,156012.80424107146,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
BLR04,MOD054,4.109997086247086,4.0,5.871424408924407,1.8714244089244074,1,1,92000,92000.0,8095.785547785516,0.0,0.0,152199.20432900422,Premium,1.3,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,92000
MAN01,MOD039,5.472054195804195,4.0,7.817220279720279,3.8172202797202788,3,3,103500,103500.0,58403.75021853143,0.0,0.0,151448.21459790206,Mid-range,1.0,1.0,1.0,Mangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,34500
BLR02,MOD018,6.669067193675889,3.0,9.527238848108412,6.5272388481084125,6,6,90000,90000.0,77050.41106719365,0.0,0.0,151121.89743083,Upper-mid,1.05,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,15000
UDU01,MOD021,7.796740909090909,3.0,11.138201298701299,8.138201298701299,8,8,96000,93560.89090909091,80585.24727272727,0.0,0.0,150393.96000000002,Budget,1.0,1.0,1.0,Udupi,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,12000
TUM01,MOD015,5.104468344155843,1.0,7.292097634508347,6.292097634508347,6,6,78000,66358.08847402596,74701.32386363634,0.0,0.0,136396.8388798701,Budget,1.0,1.0,1.0,Tumkur,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,13000
MAN01,MOD027,6.784050909090908,5.0,9.691501298701297,4.691501298701297,4,4,104000,104000.0,51023.85599999998,0.0,0.0,134176.93714285712,Mid-range,1.0,1.0,1.0,Mangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,26000
BLR06,MOD042,4.024380681818181,3.0,5.749115259740258,2.7491152597402584,2,2,76000,76000.0,44765.43579545452,0.0,0.0,132149.97053571424,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
BLR04,MOD030,4.604359504132232,3.0,6.577656434474617,3.5776564344746173,3,3,90000,90000.0,52943.86363636365,0.0,0.0,129868.92857142862,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
BLR04,MOD051,3.8497465034965037,2.0,5.499637862137862,3.4996378621378623,3,3,136500,136500.0,63122.599431818184,0.0,0.0,128979.15340909091,Flagship,1.2,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,45500
KOP01,MOD021,8.867746753246752,6.0,12.66820964749536,6.66820964749536,6,6,72000,72000.0,48178.14545454543,0.0,0.0,123228.51428571426,Budget,1.0,1.0,1.0,Koppal,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,12000
BEL01,MOD033,4.121415584415583,2.0,5.887736549165119,3.887736549165119,3,3,84000,84000.0,65339.59999999997,0.0,0.0,119742.28571428568,Mid-range,1.0,1.0,1.0,Belgaum,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,28000
BLR04,MOD036,5.707598376623377,5.0,8.153711966604824,3.153711966604824,3,3,90000,90000.0,24412.143993506503,0.0,0.0,119683.36913265308,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
BLR07,MOD042,2.389022727272727,1.0,3.4128896103896103,2.4128896103896103,2,2,76000,76000.0,60700.293181818175,0.0,0.0,115987.60357142855,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
BLR02,MOD051,3.5712052785923745,2.0,5.101721826560535,3.101721826560535,3,3,136500,136500.0,53617.38013196477,0.0,0.0,114313.95791788852,Flagship,1.2,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,45500
HUB02,MOD027,4.874828084415585,3.0,6.964040120593692,3.964040120593692,3,3,78000,78000.0,53620.083214285725,0.0,0.0,113371.5474489796,Mid-range,1.0,1.0,1.0,Hubli,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,26000
HUB01,MOD054,3.3103227272727276,3.0,4.729032467532468,1.729032467532468,1,1,92000,92000.0,22839.75272727275,0.0,0.0,108168.2711688312,Premium,1.0,1.0,1.0,Hubli,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,92000
CHI01,MOD021,8.117361525974026,6.0,11.596230751391465,5.596230751391465,5,5,60000,60000.0,35571.67363636363,0.0,0.0,103418.34428571428,Budget,1.0,1.0,1.0,Chitradurga,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,12000
BLR02,MOD036,3.9739494949494945,3.0,5.6770707070707065,2.6770707070707065,2,2,60000,60000.0,33601.257575757554,0.0,0.0,101594.83333333333,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
BLR03,MOD027,6.436037878787877,6.0,9.194339826839824,3.1943398268398244,3,3,78000,78000.0,12470.683333333282,0.0,0.0,100493.93095238089,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,26000
BLR08,MOD033,2.768170616883117,1.0,3.954529452690167,2.954529452690167,2,2,56000,56000.0,54459.65500000001,0.0,0.0,100099.45785714287,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,28000
BLR03,MOD036,3.244948051948052,2.0,4.635640074211502,2.6356400742115023,2,2,60000,60000.0,42950.707792207795,0.0,0.0,100022.5408163265,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
KOP01,MOD024,6.743659090909091,5.0,9.633798701298701,4.633798701298701,4,4,56000,56000.0,34175.718181818185,0.0,0.0,99904.70000000001,Budget,1.0,1.0,1.0,Koppal,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,14000
KAL01,MOD036,4.050653084415584,3.0,5.786647263450836,2.7866472634508357,2,2,60000,60000.0,36247.53141233766,0.0,0.0,96139.33058905382,Mid-range,1.0,1.0,1.0,Kalaburagi,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
BLR01,MOD042,4.832500324675324,5.0,6.9035718923933205,1.9035718923933205,1,1,38000,38000.0,0.0,0.0,0.0,91504.70086734691,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
TUM01,MOD012,12.258508441558442,11.0,17.51215491651206,6.51215491651206,6,6,51000,51000.0,16045.982629870137,0.0,0.0,91332.97270408165,Keypad,1.0,1.0,1.0,Tumkur,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,8500
UDU01,MOD027,4.964400252525252,4.0,7.09200036075036,3.09200036075036,3,3,78000,78000.0,27581.8472222222,0.0,0.0,88431.2103174603,Mid-range,1.0,1.0,1.0,Udupi,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,26000
SHI01,MOD036,1.434590909090909,0.0,2.0494155844155846,2.0494155844155846,2,2,60000,43037.72727272727,49493.38636363636,0.0,0.0,88381.04707792208,Mid-range,1.0,1.0,1.0,Shivamogga,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
TUM01,MOD042,4.914553030303031,5.0,7.020790043290044,2.0207900432900443,2,2,76000,76000.0,0.0,0.0,0.0,88308.52489177493,Mid-range,1.0,1.0,1.0,Tumkur,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
MAN02,MOD045,1.0791146103896105,0.0,1.5415923005565866,1.5415923005565866,1,1,38000,38000.0,47157.30847402597,0.07911461038961054,3006.3551948052004,84209.47941790352,Mid-range,1.0,1.0,1.0,Mangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
MAN01,MOD045,1.075458041958042,0.0,1.5363686313686313,1.5363686313686313,1,1,38000,38000.0,46997.51643356643,0.07545804195804195,2867.4055944055945,83924.13648851147,Mid-range,1.0,1.0,1.0,Mangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
MAN01,MOD030,3.1478230519480515,2.0,4.496890074211502,2.4968900742115023,2,2,60000,60000.0,37878.1607142857,0.0,0.0,82397.37244897957,Mid-range,1.0,1.0,1.0,Mangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
KAL01,MOD024,6.141403719008265,5.0,8.773433884297521,3.7734338842975212,3,3,42000,42000.0,22371.512892561994,0.0,0.0,81355.23454545456,Budget,1.0,1.0,1.0,Kalaburagi,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,14000
TUM01,MOD039,3.534572884012539,3.0,5.049389834303627,2.0493898343036268,2,2,69000,69000.0,21209.179173197484,0.0,0.0,81309.5416759964,Mid-range,1.0,1.0,1.0,Tumkur,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,34500
BLR07,MOD012,6.156725687103594,2.0,8.795322410147993,6.7953224101479925,6,6,51000,51000.0,52998.25251057083,0.0,0.0,81008.73728197676,Keypad,0.85,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,8500
KOP01,MOD045,1.0338676948051948,0.0,1.4769538497217067,1.4769538497217067,1,1,38000,38000.0,45180.018262987,0.0338676948051948,1286.9724025974026,80678.60404104822,Mid-range,1.0,1.0,1.0,Koppal,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
BLR07,MOD048,1.9771713286713284,1.0,2.824530469530469,1.824530469530469,1,1,54000,54000.0,39575.4388111888,0.0,0.0,79804.96273726271,Flagship,1.2,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,54000
MAN02,MOD039,3.5046087662337664,3.0,5.006583951762523,2.006583951762523,2,2,69000,69000.0,20020.35280032468,0.0,0.0,79611.2182861781,Mid-range,1.0,1.0,1.0,Mangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,34500
SHI01,MOD012,6.767075757575756,4.0,9.66725108225108,5.667251082251081,5,5,42500,42500.0,35280.21590909089,0.0,0.0,79483.19642857142,Keypad,1.0,1.0,1.0,Shivamogga,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,8500
BLR08,MOD057,1.8826753246753247,2.0,2.689536178107607,0.6895361781076068,0,0,0,0.0,0.0,0.0,0.0,78936.72259740262,Premium,1.3,1.0,1.0,Bangalore,normal,NO_REPLENISHMENT_NEEDED,NOT ALLOCATED: higher-priority demand consumed available inventory or budget.,129500
BEL01,MOD012,6.650440191387559,4.0,9.500628844839369,5.500628844839369,5,5,42500,42500.0,33793.11244019138,0.0,0.0,77146.31954887215,Keypad,1.0,1.0,1.0,Belgaum,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,8500
KOP01,MOD057,0.46505666113875066,0.0,0.6643666587696437,0.6643666587696437,0,0,0,0.0,22406.36952000256,0.46505666113875066,60224.83761746821,75711.2244333886,Premium,1.0,1.0,1.0,Koppal,normal,NO_REPLENISHMENT_NEEDED,NOT ALLOCATED: higher-priority demand consumed available inventory or budget.,129500
SHI01,MOD057,0.46505666113875066,0.0,0.6643666587696437,0.6643666587696437,0,0,0,0.0,22406.36952000256,0.46505666113875066,60224.83761746821,75711.2244333886,Premium,1.0,1.0,1.0,Shivamogga,normal,NO_REPLENISHMENT_NEEDED,NOT ALLOCATED: higher-priority demand consumed available inventory or budget.,129500
TUM02,MOD057,0.46505666113875066,0.0,0.6643666587696437,0.6643666587696437,0,0,0,0.0,22406.36952000256,0.46505666113875066,60224.83761746821,75711.2244333886,Premium,1.0,1.0,1.0,Tumkur,normal,NO_REPLENISHMENT_NEEDED,NOT ALLOCATED: higher-priority demand consumed available inventory or budget.,129500
BLR07,MOD045,2.4842016233766233,2.0,3.5488594619666047,1.5488594619666047,1,1,38000,38000.0,21159.610941558436,0.0,0.0,74453.67433673468,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
DAV01,MOD030,1.3248102272727271,0.0,1.8925860389610387,1.8925860389610387,1,1,30000,30000.0,43718.7375,0.3248102272727271,9744.306818181814,74165.71540178571,Mid-range,0.95,1.0,1.0,Davangere,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
KAL01,MOD033,3.053901515151515,2.0,4.362716450216451,2.3627164502164506,2,2,56000,56000.0,32460.166666666664,0.0,0.0,72771.66666666669,Mid-range,1.0,1.0,1.0,Kalaburagi,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,28000
BLR06,MOD008,11.117767207792209,9.0,15.882524582560299,6.882524582560299,6,6,45000,45000.0,23824.88108766235,0.0,0.0,72395.55545280615,Keypad,0.85,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,7500
HOS01,MOD042,0.9275227272727272,0.0,1.3250324675324676,1.3250324675324676,1,1,38000,35245.86363636363,37595.04049984503,0.0,0.0,72379.89853896103,Mid-range,1.0,1.0,1.0,Hassan,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
BLR01,MOD036,2.7156258116883114,2.0,3.8794654452690165,1.8794654452690165,1,1,30000,30000.0,24689.09050324674,0.0,0.0,71325.71364795919,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
KAL01,MOD012,7.679488149350648,6.0,10.970697356215211,4.9706973562152115,4,4,34000,34000.0,21413.473904220766,0.0,0.0,69714.03042091834,Keypad,1.0,1.0,1.0,Kalaburagi,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,8500
BLR01,MOD060,1.2333433441558441,1.0,1.7619190630797772,0.7619190630797772,0,0,0,0.0,19134.15422077922,0.23334334415584412,23917.69277597402,69037.48630565862,Premium,1.3,1.0,1.0,Bangalore,normal,NO_REPLENISHMENT_NEEDED,NOT ALLOCATED: higher-priority demand consumed available inventory or budget.,102500
KOP01,MOD008,8.098710418794688,6.0,11.56958631256384,5.569586312563841,5,5,37500,37500.0,23610.492211440247,0.0,0.0,68923.63061797753,Keypad,1.0,1.0,1.0,Koppal,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,7500
BLR07,MOD054,3.390995941558441,4.0,4.8442799165120585,0.8442799165120585,0,0,0,0.0,0.0,0.0,0.0,68663.59705009269,Premium,1.3,1.0,1.0,Bangalore,normal,NO_REPLENISHMENT_NEEDED,NOT ALLOCATED: higher-priority demand consumed available inventory or budget.,92000
DAV02,MOD039,1.963456655844156,1.0,2.8049380797773655,1.8049380797773655,1,1,34500,34500.0,38225.142820616886,0.0,0.0,68030.37239940862,Mid-range,0.95,1.0,1.0,Davangere,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,34500
HUB02,MOD021,3.973015151515152,2.0,5.675735930735931,3.6757359307359314,3,3,36000,36000.0,33146.654545454556,0.0,0.0,67927.60000000002,Budget,1.0,1.0,1.0,Hubli,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,12000
BLR07,MOD027,3.602694805194805,3.0,5.146706864564008,2.146706864564008,2,2,52000,52000.0,17237.071428571428,0.0,0.0,67535.3979591837,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,26000
HUB02,MOD018,2.810498376623377,1.0,4.014997680890539,3.0149976808905388,3,3,45000,42157.47564935065,38020.465909090904,0.0,0.0,66480.69886363638,Upper-mid,1.0,1.0,1.0,Hubli,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,15000
MAN01,MOD036,3.4476852272727276,3.0,4.925264610389611,1.9252646103896112,1,1,30000,30000.0,15445.1403409091,0.0,0.0,66421.62905844158,Mid-range,1.0,1.0,1.0,Mangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
BLR06,MOD030,3.3602727272727266,3.0,4.800389610389609,1.800389610389609,1,1,30000,30000.0,11888.999999999978,0.0,0.0,65354.142857142826,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
BLR06,MOD054,1.9600944055944054,2.0,2.800134865134865,0.800134865134865,0,0,0,0.0,0.0,0.0,0.0,65073.3683116883,Premium,1.3,1.0,1.0,Bangalore,normal,NO_REPLENISHMENT_NEEDED,NOT ALLOCATED: higher-priority demand consumed available inventory or budget.,92000
TUM02,MOD024,3.5015454545454543,2.0,5.002207792207792,3.002207792207792,3,3,42000,42000.0,29430.2909090909,0.0,0.0,64727.6,Budget,1.0,1.0,1.0,Tumkur,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,14000
HUB01,MOD048,2.6415922459893046,2.0,3.7737032085561495,1.7737032085561495,1,1,54000,54000.0,25984.48596256684,0.0,0.0,64651.48195187165,Flagship,1.0,1.0,1.0,Hubli,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,54000
BLR03,MOD051,1.9020266798418974,1.0,2.7171809712027106,1.7171809712027106,1,1,45500,45500.0,30781.66044960475,0.0,0.0,63286.70469367589,Flagship,1.2,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,45500
BLR04,MOD060,2.5802094155844157,3.0,3.68601345083488,0.6860134508348801,0,0,0,0.0,0.0,0.0,0.0,62159.67878014849,Premium,1.3,1.0,1.0,Bangalore,normal,NO_REPLENISHMENT_NEEDED,NOT ALLOCATED: higher-priority demand consumed available inventory or budget.,102500
MYS01,MOD024,2.708165746753247,1.0,3.868808209647496,2.868808209647496,2,2,28000,28000.0,33480.04863636364,0.0,0.0,61851.50500000001,Budget,1.0,1.0,1.0,Mysore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,14000
BLR05,MOD030,3.9908143939393925,4.0,5.701163419913418,1.701163419913418,1,1,30000,30000.0,0.0,0.0,0.0,61752.23214285709,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
BLR07,MOD036,3.225166666666666,3.0,4.607380952380951,1.607380952380951,1,1,30000,30000.0,7768.249999999979,0.0,0.0,61000.10714285709,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,30000
KAL01,MOD021,3.670644628099173,2.0,5.243778040141676,3.2437780401416756,3,3,36000,36000.0,28066.829752066107,0.0,0.0,59945.018181818166,Budget,1.0,1.0,1.0,Kalaburagi,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,12000
DAV02,MOD033,1.1365246753246754,0.0,1.6236066790352506,1.6236066790352506,1,1,28000,28000.0,35004.96000000001,0.13652467532467538,3822.6909090909107,59383.414285714294,Mid-range,0.95,1.0,1.0,Davangere,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,28000
BLR01,MOD033,3.3265402597402596,3.0,4.752200371057514,1.7522003710575138,1,1,28000,28000.0,10057.439999999995,0.0,0.0,59364.54857142858,Mid-range,1.1,1.0,1.0,Bangalore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,28000
MYS02,MOD045,3.03932775974026,3.0,4.341896799628943,1.3418967996289428,1,1,38000,38000.0,1718.6231006493683,0.0,0.0,58640.890143784796,Mid-range,1.0,1.0,1.0,Mysore,normal,FULLY_ALLOCATED,NORMAL REPLENISHMENT: forecast demand exceeds current stock.,38000
BLR08,MOD054,1.2038080808080807,1.0,1.7197258297258295,0.7197258297258295,0,0,0,0.0,15000.274747474738,0.20380808080808066,18750.34343434342,58533.862279942274,Premium,1.3,1.0,1.0,Bangalore,normal,NO_REPLENISHMENT_NEEDED,NOT ALLOCATED: higher-priority demand consumed available inventory or budget.,92000
