store_id,model_id,current_stock,warehouse_stock
BLR04,MOD060,3,32
BLR05,MOD001,1,44
BLR05,MOD002,2,55
BLR05,MOD003,4,132
BLR05,MOD004,4,203
BLR05,MOD005,0,78
BLR05,MOD006,2,53
BLR05,MOD007,0,136
BLR05,MOD008,4,296
BLR05,MOD009,1,45
BLR05,MOD010,3,51
BLR05,MOD011,3,73
BLR05,MOD012,6,218
BLR05,MOD013,2,83
BLR05,MOD014,2,61
BLR05,MOD015,2,119
BLR05,MOD016,2,80
BLR05,MOD017,0,65
BLR05,MOD018,4,79
BLR05,MOD019,1,56
BLR05,MOD020,2,40
BLR05,MOD021,3,173
BLR05,MOD022,3,53
BLR05,MOD023,3,53
BLR05,MOD024,1,198
BLR05,MOD025,1,71
BLR05,MOD026,3,54
BLR05,MOD027,5,159
BLR05,MOD028,4,70
BLR05,MOD029,1,36
BLR05,MOD030,4,99
BLR05,MOD031,1,61
BLR05,MOD032,2,57
BLR05,MOD033,3,89
BLR05,MOD034,4,60
BLR05,MOD035,3,49
BLR05,MOD036,2,71
BLR05,MOD037,2,45
BLR05,MOD038,2,44
BLR05,MOD039,10,106
BLR05,MOD040,1,68
BLR05,MOD041,1,43
BLR05,MOD042,1,91
BLR05,MOD043,3,46
BLR05,MOD044,1,36
BLR05,MOD045,7,85
BLR05,MOD046,3,28
BLR05,MOD047,1,42
BLR05,MOD048,8,94
BLR05,MOD049,3,25
BLR05,MOD050,0,35
BLR05,MOD051,2,48
BLR05,MOD052,1,28
BLR05,MOD053,3,32
BLR05,MOD054,14,97
BLR05,MOD055,2,27
BLR05,MOD056,2,32
BLR05,MOD057,2,97
BLR05,MOD058,1,17
BLR05,MOD059,2,22
BLR05,MOD060,0,32
BLR06,MOD001,2,44
BLR06,MOD002,2,55
BLR06,MOD003,5,132
BLR06,MOD004,3,203
BLR06,MOD005,3,78
BLR06,MOD006,1,53
BLR06,MOD007,5,136
BLR06,MOD008,9,296
BLR06,MOD009,2,45
BLR06,MOD010,1,51
BLR06,MOD011,3,73
BLR06,MOD012,29,218
BLR06,MOD013,1,83
BLR06,MOD014,3,61
BLR06,MOD015,5,119
BLR06,MOD016,2,80
BLR06,MOD017,3,65
BLR06,MOD018,3,79
BLR06,MOD019,2,56
BLR06,MOD020,1,40
BLR06,MOD021,9,173
BLR06,MOD022,1,53
BLR06,MOD023,1,53
BLR06,MOD024,7,198
BLR06,MOD025,1,71
BLR06,MOD026,1,54
BLR06,MOD027,5,159
BLR06,MOD028,0,70
BLR06,MOD029,0,36
BLR06,MOD030,3,99
BLR06,MOD031,2,61
BLR06,MOD032,3,57
BLR06,MOD033,4,89
BLR06,MOD034,1,60
BLR06,MOD035,2,49
BLR06,MOD036,3,71
BLR06,MOD037,0,45
BLR06,MOD038,3,44
BLR06,MOD039,3,106
BLR06,MOD040,2,68
BLR06,MOD041,2,43
BLR06,MOD042,3,91
BLR06,MOD043,2,46
BLR06,MOD044,3,36
BLR06,MOD045,1,85
BLR06,MOD046,0,28
BLR06,MOD047,1,42
BLR06,MOD048,1,94
BLR06,MOD049,1,25
BLR06,MOD050,2,35
BLR06,MOD051,3,48
BLR06,MOD052,0,28
BLR06,MOD053,4,32
BLR06,MOD054,2,97
BLR06,MOD055,0,27
BLR06,MOD056,1,32
BLR06,MOD057,0,97
BLR06,MOD058,2,17
BLR06,MOD059,0,22
BLR06,MOD060,1,32
BLR07,MOD001,2,44
BLR07,MOD002,2,55
BLR07,MOD003,2,132
BLR07,MOD004,4,203
BLR07,MOD005,1,78
BLR07,MOD006,4,53
BLR07,MOD007,4,136
BLR07,MOD008,13,296
BLR07,MOD009,0,45
BLR07,MOD010,1,51
BLR07,MOD011,0,73
BLR07,MOD012,2,218
BLR07,MOD013,3,83
BLR07,MOD014,0,61
BLR07,MOD015,3,119
BLR07,MOD016,1,80
BLR07,MOD017,2,65
BLR07,MOD018,3,79
BLR07,MOD019,3,56
BLR07,MOD020,2,40
BLR07,MOD021,3,173
BLR07,MOD022,1,53
BLR07,MOD023,1,53
BLR07,MOD024,3,198
BLR07,MOD025,2,71
BLR07,MOD026,2,54
BLR07,MOD027,3,159
BLR07,MOD028,3,70
BLR07,MOD029,1,36
BLR07,MOD030,2,99
BLR07,MOD031,1,61
BLR07,MOD032,2,57
BLR07,MOD033,3,89
BLR07,MOD034,4,60
BLR07,MOD035,2,49
BLR07,MOD036,3,71
BLR07,MOD037,1,45
BLR07,MOD038,0,44
BLR07,MOD039,3,106
BLR07,MOD040,3,68
BLR07,MOD041,2,43
BLR07,MOD042,1,91
BLR07,MOD043,1,46
BLR07,MOD044,1,36
BLR07,MOD045,2,85
BLR07,MOD046,0,28
BLR07,MOD047,1,42
BLR07,MOD048,1,94
BLR07,MOD049,1,25
BLR07,MOD050,3,35
BLR07,MOD051,2,48
BLR07,MOD052,3,28
BLR07,MOD053,1,32
BLR07,MOD054,4,97
BLR07,MOD055,1,27
BLR07,MOD056,0,32
BLR07,MOD057,4,97
BLR07,MOD058,0,17
BLR07,MOD059,1,22
BLR07,MOD060,0,32
BLR08,MOD001,3,44
BLR08,MOD002,3,55
BLR08,MOD003,5,132
BLR08,MOD004,4,203
BLR08,MOD005,5,78
BLR08,MOD006,3,53
BLR08,MOD007,3,136
BLR08,MOD008,16,296
BLR08,MOD009,2,45
BLR08,MOD010,1,51
BLR08,MOD011,4,73
BLR08,MOD012,5,218
BLR08,MOD013,4,83
BLR08,MOD014,1,61
BLR08,MOD015,2,119
BLR08,MOD016,3,80
BLR08,MOD017,3,65
BLR08,MOD018,3,79
BLR08,MOD019,2,56
BLR08,MOD020,2,40
BLR08,MOD021,4,173
BLR08,MOD022,2,53
BLR08,MOD023,1,53
BLR08,MOD024,4,198
BLR08,MOD025,1,71
BLR08,MOD026,2,54
BLR08,MOD027,10,159
BLR08,MOD028,1,70
BLR08,MOD029,3,36
BLR08,MOD030,4,99
BLR08,MOD031,2,61
BLR08,MOD032,1,57
BLR08,MOD033,1,89
BLR08,MOD034,1,60
BLR08,MOD035,3,49
BLR08,MOD036,2,71
BLR08,MOD037,3,45
BLR08,MOD038,2,44
BLR08,MOD039,4,106
BLR08,MOD040,7,68
BLR08,MOD041,0,43
BLR08,MOD042,0,91
BLR08,MOD043,0,46
BLR08,MOD044,0,36
BLR08,MOD045,2,85
BLR08,MOD046,1,28
BLR08,MOD047,0,42
BLR08,MOD048,2,94
BLR08,MOD049,1,25
BLR08,MOD050,2,35
BLR08,MOD051,1,48
BLR08,MOD052,4,28
BLR08,MOD053,1,32
BLR08,MOD054,1,97
BLR08,MOD056,1,32
BLR08,MOD057,2,97
BLR08,MOD058,0,17
BLR08,MOD059,1,22
BLR08,MOD060,1,32
CHI01,MOD001,2,44
CHI01,MOD002,6,55
CHI01,MOD003,4,132
CHI01,MOD004,12,203
CHI01,MOD005,5,78
CHI01,MOD006,1,53
CHI01,MOD007,5,136
CHI01,MOD008,4,296
CHI01,MOD009,2,45
CHI01,MOD010,2,51
CHI01,MOD011,1,73
CHI01,MOD012,10,218
CHI01,MOD013,4,83
CHI01,MOD014,2,61
CHI01,MOD015,4,119
CHI01,MOD016,3,80
CHI01,MOD017,1,65
CHI01,MOD018,5,79
CHI01,MOD019,1,56
CHI01,MOD020,3,40
CHI01,MOD021,6,173
CHI01,MOD022,2,53
CHI01,MOD023,3,53
CHI01,MOD024,3,198
CHI01,MOD025,0,71
CHI01,MOD026,2,54
CHI01,MOD027,4,159
CHI01,MOD028,3,70
CHI01,MOD029,1,36
CHI01,MOD030,2,99
CHI01,MOD031,0,61
CHI01,MOD032,1,57
CHI01,MOD033,2,89
CHI01,MOD034,2,60
CHI01,MOD035,2,49
CHI01,MOD036,1,71
CHI01,MOD037,1,45
CHI01,MOD038,2,44
CHI01,MOD039,4,106
CHI01,MOD040,2,68
CHI01,MOD041,1,43
CHI01,MOD042,2,91
CHI01,MOD043,0,46
CHI01,MOD044,3,36
CHI01,MOD045,0,85
CHI01,MOD046,0,28
CHI01,MOD048,0,94
CHI01,MOD050,0,35
CHI01,MOD051,0,48
CHI01,MOD052,0,28
CHI01,MOD053,1,32
CHI01,MOD054,1,97
CHI01,MOD056,1,32
CHI01,MOD057,1,97
CHI01,MOD058,0,17
CHI01,MOD059,0,22
CHI01,MOD060,1,32
DAV01,MOD001,0,44
DAV01,MOD002,0,55
DAV01,MOD003,5,132
DAV01,MOD004,5,203
DAV01,MOD005,0,78
DAV01,MOD006,4,53
DAV01,MOD007,2,136
DAV01,MOD008,3,296
DAV01,MOD009,0,45
DAV01,MOD010,0,51
DAV01,MOD011,0,73
DAV01,MOD012,4,218
DAV01,MOD013,1,83
DAV01,MOD014,1,61
DAV01,MOD015,2,119
DAV01,MOD016,2,80
DAV01,MOD017,1,65
DAV01,MOD018,0,79
DAV01,MOD019,2,56
DAV01,MOD020,2,40
DAV01,MOD021,2,173
DAV01,MOD022,1,53
DAV01,MOD023,2,53
DAV01,MOD024,3,198
DAV01,MOD025,0,71
DAV01,MOD026,2,54
DAV01,MOD027,2,159
DAV01,MOD028,0,70
DAV01,MOD030,0,99
DAV01,MOD031,1,61
DAV01,MOD032,3,57
DAV01,MOD033,0,89
DAV01,MOD035,0,49
DAV01,MOD036,1,71
DAV01,MOD037,1,45
DAV01,MOD038,2,44
DAV01,MOD039,1,106
DAV01,MOD041,0,43
DAV01,MOD042,2,91
DAV01,MOD043,0,46
DAV01,MOD044,0,36
DAV01,MOD045,0,85
DAV01,MOD054,1,97
DAV02,MOD001,0,44
DAV02,MOD002,1,55
DAV02,MOD003,2,132
DAV02,MOD004,4,203
DAV02,MOD005,2,78
DAV02,MOD006,1,53
DAV02,MOD007,0,136
DAV02,MOD008,4,296
DAV02,MOD009,0,45
DAV02,MOD010,2,51
DAV02,MOD011,1,73
DAV02,MOD012,8,218
DAV02,MOD013,0,83
DAV02,MOD014,2,61
DAV02,MOD015,4,119
DAV02,MOD016,0,80
DAV02,MOD017,3,65
DAV02,MOD018,1,79
DAV02,MOD019,0,56
DAV02,MOD020,3,40
DAV02,MOD021,3,173
DAV02,MOD022,1,53
DAV02,MOD023,1,53
DAV02,MOD024,2,198
DAV02,MOD025,2,71
DAV02,MOD026,0,54
DAV02,MOD027,4,159
DAV02,MOD028,0,70
DAV02,MOD029,0,36
DAV02,MOD030,0,99
DAV02,MOD031,2,61
DAV02,MOD032,0,57
DAV02,MOD033,0,89
DAV02,MOD034,0,60
DAV02,MOD035,0,49
DAV02,MOD036,1,71
DAV02,MOD037,0,45
DAV02,MOD038,2,44
DAV02,MOD039,1,106
DAV02,MOD040,0,68
DAV02,MOD041,0,43
DAV02,MOD042,2,91
DAV02,MOD043,1,46
DAV02,MOD044,0,36
DAV02,MOD045,1,85
DAV02,MOD046,0,28
DAV02,MOD048,0,94
DAV02,MOD049,0,25
DAV02,MOD051,0,48
DAV02,MOD053,0,32
DAV02,MOD057,1,97
DAV02,MOD059,1,22
DAV02,MOD060,1,32
HOS01,MOD001,2,44
HOS01,MOD002,0,55
HOS01,MOD003,3,132
HOS01,MOD004,9,203
HOS01,MOD005,0,78
HOS01,MOD006,1,53
HOS01,MOD007,4,136
HOS01,MOD008,6,296
HOS01,MOD009,1,45
HOS01,MOD010,1,51
HOS01,MOD011,1,73
HOS01,MOD012,3,218
HOS01,MOD013,2,83
HOS01,MOD014,1,61
HOS01,MOD015,6,119
HOS01,MOD016,1,80
HOS01,MOD017,2,65
HOS01,MOD018,2,79
HOS01,MOD019,3,56
HOS01,MOD020,1,40
HOS01,MOD021,5,173
HOS01,MOD022,1,53
HOS01,MOD023,2,53
HOS01,MOD024,3,198
HOS01,MOD025,1,71
HOS01,MOD026,1,54
HOS01,MOD027,2,159
HOS01,MOD028,2,70
HOS01,MOD029,2,36
HOS01,MOD030,1,99
HOS01,MOD031,1,61
HOS01,MOD032,1,57
HOS01,MOD033,3,89
HOS01,MOD034,0,60
HOS01,MOD035,3,49
HOS01,MOD036,3,71
HOS01,MOD037,1,45
HOS01,MOD038,0,44
HOS01,MOD039,4,106
HOS01,MOD040,2,68
HOS01,MOD041,1,43
HOS01,MOD042,0,91
HOS01,MOD043,1,46
HOS01,MOD044,0,36
HOS01,MOD045,2,85
HOS01,MOD048,0,94
HOS01,MOD050,0,35
HOS01,MOD054,1,97
HUB01,MOD001,3,44
HUB01,MOD002,0,55
HUB01,MOD003,7,132
HUB01,MOD004,8,203
HUB01,MOD005,2,78
HUB01,MOD006,1,53
HUB01,MOD007,2,136
HUB01,MOD008,8,296
HUB01,MOD009,1,45
HUB01,MOD010,1,51
HUB01,MOD011,4,73
HUB01,MOD012,2,218
HUB01,MOD013,4,83
HUB01,MOD014,1,61
HUB01,MOD015,2,119
HUB01,MOD016,3,80
HUB01,MOD017,2,65
HUB01,MOD018,2,79
HUB01,MOD019,3,56
HUB01,MOD020,1,40
HUB01,MOD021,2,173
HUB01,MOD022,1,53
HUB01,MOD023,3,53
HUB01,MOD024,2,198
HUB01,MOD025,4,71
HUB01,MOD026,3,54
HUB01,MOD027,5,159
HUB01,MOD028,1,70
HUB01,MOD029,1,36
HUB01,MOD030,1,99
HUB01,MOD031,1,61
HUB01,MOD032,1,57
HUB01,MOD033,2,89
HUB01,MOD034,1,60
HUB01,MOD035,0,49
HUB01,MOD036,2,71
HUB01,MOD037,2,45
HUB01,MOD038,1,44
HUB01,MOD039,3,106
HUB01,MOD040,0,68
HUB01,MOD041,1,43
HUB01,MOD042,3,91
HUB01,MOD043,0,46
HUB01,MOD044,1,36
HUB01,MOD045,1,85
HUB01,MOD046,2,28
HUB01,MOD047,0,42
HUB01,MOD048,2,94
HUB01,MOD049,1,25
HUB01,MOD050,1,35
HUB01,MOD051,0,48
HUB01,MOD053,0,32
HUB01,MOD054,3,97
HUB01,MOD055,0,27
HUB01,MOD056,0,32
HUB01,MOD057,3,97
HUB01,MOD058,1,17
HUB01,MOD059,0,22
HUB01,MOD060,1,32
HUB02,MOD001,2,44
HUB02,MOD002,2,55
HUB02,MOD003,3,132
HUB02,MOD004,10,203
HUB02,MOD005,2,78
HUB02,MOD006,3,53
HUB02,MOD007,5,136
HUB02,MOD008,16,296
HUB02,MOD009,3,45
HUB02,MOD010,1,51
HUB02,MOD011,2,73
HUB02,MOD012,6,218
HUB02,MOD013,2,83
HUB02,MOD014,1,61
HUB02,MOD015,6,119
HUB02,MOD016,4,80
HUB02,MOD017,0,65
HUB02,MOD018,1,79
HUB02,MOD019,3,56
HUB02,MOD020,2,40
HUB02,MOD021,2,173
HUB02,MOD022,3,53
HUB02,MOD023,6,53
HUB02,MOD024,10,198
HUB02,MOD025,4,71
HUB02,MOD026,2,54
HUB02,MOD027,3,159
HUB02,MOD028,2,70
HUB02,MOD029,2,36
HUB02,MOD030,3,99
HUB02,MOD031,1,61
HUB02,MOD032,1,57
HUB02,MOD033,1,89
HUB02,MOD034,2,60
HUB02,MOD035,1,49
HUB02,MOD036,1,71
HUB02,MOD037,2,45
HUB02,MOD038,2,44
HUB02,MOD039,2,106
HUB02,MOD040,1,68
HUB02,MOD041,0,43
HUB02,MOD042,1,91
HUB02,MOD043,1,46
HUB02,MOD044,0,36
HUB02,MOD045,1,85
HUB02,MOD047,0,42
HUB02,MOD048,1,94
HUB02,MOD050,1,35
HUB02,MOD051,1,48
HUB02,MOD052,0,28
HUB02,MOD053,1,32
HUB02,MOD054,1,97
HUB02,MOD055,0,27
HUB02,MOD057,1,97
HUB02,MOD058,0,17
KAL01,MOD001,2,44
KAL01,MOD002,2,55
KAL01,MOD003,8,132
KAL01,MOD004,3,203
KAL01,MOD005,2,78
KAL01,MOD006,1,53
KAL01,MOD007,4,136
KAL01,MOD008,4,296
KAL01,MOD009,0,45
KAL01,MOD010,1,51
KAL01,MOD011,2,73
KAL01,MOD012,6,218
KAL01,MOD013,1,83
KAL01,MOD014,2,61
KAL01,MOD015,4,119
KAL01,MOD016,3,80
KAL01,MOD017,3,65
KAL01,MOD018,1,79
KAL01,MOD019,4,56
KAL01,MOD020,0,40
KAL01,MOD021,2,173
KAL01,MOD022,1,53
KAL01,MOD023,4,53
KAL01,MOD024,5,198
KAL01,MOD025,0,71
KAL01,MOD026,1,54
KAL01,MOD027,3,159
KAL01,MOD028,0,70
KAL01,MOD029,0,36
KAL01,MOD030,3,99
KAL01,MOD031,1,61
KAL01,MOD032,0,57
KAL01,MOD033,2,89
KAL01,MOD034,2,60
KAL01,MOD035,2,49
KAL01,MOD036,3,71
KAL01,MOD037,2,45
KAL01,MOD038,1,44
KAL01,MOD039,2,106
KAL01,MOD040,1,68
KAL01,MOD041,0,43
KAL01,MOD042,0,91
KAL01,MOD043,1,46
KAL01,MOD044,0,36
KAL01,MOD045,4,85
KAL01,MOD047,0,42
KAL01,MOD050,0,35
KAL01,MOD051,0,48
KAL01,MOD052,0,28
KAL01,MOD053,1,32
KAL01,MOD054,0,97
KAL01,MOD056,0,32
KAL01,MOD059,0,22
KAL01,MOD060,0,32
KOP01,MOD001,1,44
KOP01,MOD002,2,55
KOP01,MOD003,5,132
KOP01,MOD004,3,203
KOP01,MOD005,3,78
KOP01,MOD006,4,53
KOP01,MOD007,4,136
KOP01,MOD008,6,296
KOP01,MOD009,1,45
KOP01,MOD010,2,51
KOP01,MOD011,3,73
KOP01,MOD012,5,218
KOP01,MOD013,2,83
KOP01,MOD014,2,61
KOP01,MOD015,3,119
KOP01,MOD016,2,80
KOP01,MOD017,4,65
KOP01,MOD018,3,79
KOP01,MOD019,2,56
KOP01,MOD020,0,40
KOP01,MOD021,6,173
KOP01,MOD022,4,53
KOP01,MOD023,1,53
KOP01,MOD024,5,198
KOP01,MOD025,0,71
KOP01,MOD026,1,54
KOP01,MOD027,4,159
KOP01,MOD028,1,70
KOP01,MOD029,1,36
KOP01,MOD030,2,99
KOP01,MOD031,3,61
KOP01,MOD032,1,57
KOP01,MOD033,2,89
KOP01,MOD034,1,60
KOP01,MOD035,1,49
KOP01,MOD036,1,71
KOP01,MOD037,0,45
KOP01,MOD038,0,44
KOP01,MOD039,4,106
KOP01,MOD040,2,68
KOP01,MOD041,1,43
KOP01,MOD042,2,91
KOP01,MOD043,2,46
KOP01,MOD044,1,36
KOP01,MOD045,0,85
KOP01,MOD046,0,28
KOP01,MOD048,0,94
KOP01,MOD050,0,35
KOP01,MOD051,1,48
MAN01,MOD001,1,44
MAN01,MOD002,1,55
MAN01,MOD003,1,132
MAN01,MOD004,4,203
MAN01,MOD006,3,53
MAN01,MOD007,3,136
MAN01,MOD008,3,296
MAN01,MOD010,1,51
MAN01,MOD011,1,73
MAN01,MOD012,7,218
MAN01,MOD013,0,83
MAN01,MOD014,2,61
MAN01,MOD015,2,119
MAN01,MOD016,0,80
MAN01,MOD017,0,65
MAN01,MOD018,2,79
MAN01,MOD019,2,56
MAN01,MOD020,0,40
MAN01,MOD021,3,173
MAN01,MOD022,2,53
MAN01,MOD023,2,53
MAN01,MOD024,6,198
MAN01,MOD025,3,71
MAN01,MOD026,2,54
MAN01,MOD027,5,159
MAN01,MOD028,3,70
MAN01,MOD029,3,36
MAN01,MOD030,2,99
MAN01,MOD031,1,61
MAN01,MOD032,5,57
MAN01,MOD033,5,89
MAN01,MOD034,4,60
MAN01,MOD035,1,49
MAN01,MOD036,3,71
MAN01,MOD037,2,45
MAN01,MOD038,1,44
MAN01,MOD039,4,106
MAN01,MOD040,2,68
MAN01,MOD041,1,43
MAN01,MOD042,2,91
MAN01,MOD043,2,46
MAN01,MOD044,2,36
MAN01,MOD045,0,85
MAN01,MOD046,1,28
MAN01,MOD047,2,42
MAN01,MOD048,2,94
MAN01,MOD049,2,25
